Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
186-37-1243,E,Yangon,Member,Female,Electronic accessories,65.46,2,6.55,137.47,16/06/2019,9:34,Credit card,130.92,4.76,6.55,5.5
469-38-1969,J,Los Angeles,Member,Female,Electronic accessories,37.1,2,3.71,77.91,1/01/2019,10:36,Ewallet,74.2,4.76,3.71,5.6
203-65-2913,F,Mexico City,Normal,Female,Home and lifestyle,32.77,5,8.19,172.04,3/05/2019,17:32,Cash,163.85,4.76,8.19,10.0
766-23-1944,J,Los Angeles,Member,Male,Sports and travel,37.86,2,3.79,79.51,9/09/2019,14:48,Cash,75.72,4.76,3.79,7.2
422-99-8618,G,Kuala Lumpur,Member,Male,Sports and travel,64.38,1,3.22,67.6,12/03/2019,14:47,Ewallet,64.38,4.76,3.22,9.2
780-86-8254,B,New York,Normal,Male,Health and beauty,44.55,4,8.91,187.11,2/02/2019,14:47,Ewallet,178.2,4.76,8.91,7.8
514-18-7588,E,Sydney,Normal,Female,Home and lifestyle,77.13,10,38.56,809.86,1/05/2019,10:23,Ewallet,771.3,4.76,38.56,7.9
626-27-1668,B,Bangkok,Normal,Female,Sports and travel,20.59,7,7.21,151.34,12/07/2019,11:37,Cash,144.13,4.76,7.21,6.4
788-97-9022,J,Rome,Member,Female,Home and lifestyle,25.61,10,12.81,268.91,6/01/2019,18:27,Ewallet,256.1,4.76,12.81,5.7
463-59-4227,J,Tokyo,Normal,Male,Fashion accessories,93.85,7,32.85,689.8,24/07/2019,18:46,Ewallet,656.95,4.76,32.85,7.2
530-90-8432,A,Singapore,Normal,Female,Health and beauty,72.94,8,29.18,612.7,9/07/2019,10:43,Ewallet,583.52,4.76,29.18,5.7
608-85-8286,E,London,Member,Male,Home and lifestyle,63.9,6,19.17,402.57,8/04/2019,14:16,Ewallet,383.4,4.76,19.17,8.5
944-23-9620,A,London,Normal,Male,Home and lifestyle,12.39,3,1.86,39.03,26/02/2019,10:33,Cash,37.17,4.76,1.86,7.9
873-72-4592,I,Naypyitaw,Normal,Male,Electronic accessories,30.81,6,9.24,194.1,28/06/2019,14:14,Credit card,184.86,4.76,9.24,8.8
886-69-8281,C,Tokyo,Member,Female,Fashion accessories,22.12,6,6.64,139.36,27/09/2019,11:30,Cash,132.72,4.76,6.64,8.6
514-36-2939,A,Chicago,Member,Male,Food and beverages,35.35,2,3.54,74.24,24/05/2019,17:44,Cash,70.7,4.76,3.54,5.3
762-89-5605,F,Bangkok,Member,Female,Health and beauty,73.88,6,22.16,465.44,20/04/2019,11:20,Credit card,443.28,4.76,22.16,5.9
265-92-4417,G,Dubai,Normal,Female,Fashion accessories,83.57,3,12.54,263.25,9/04/2019,17:19,Ewallet,250.71,4.76,12.54,9.8
965-67-8449,J,Yangon,Member,Female,Electronic accessories,66.73,3,10.01,210.2,9/08/2019,19:34,Cash,200.19,4.76,10.01,8.9
250-86-9353,I,Sydney,Normal,Male,Sports and travel,65.63,7,22.97,482.38,28/02/2019,13:13,Cash,459.41,4.76,22.97,6.6
883-41-6738,D,Rome,Normal,Female,Food and beverages,70.91,7,24.82,521.19,6/08/2019,10:11,Credit card,496.37,4.76,24.82,7.3
629-42-7030,E,Chicago,Normal,Male,Sports and travel,43.96,3,6.59,138.47,9/03/2019,17:22,Credit card,131.88,4.76,6.59,6.7
904-84-2210,I,Bangkok,Normal,Male,Food and beverages,52.67,5,13.17,276.52,25/07/2019,12:35,Credit card,263.35,4.76,13.17,9.7
222-20-2177,B,Yangon,Normal,Female,Electronic accessories,36.44,3,5.47,114.79,27/08/2019,20:41,Ewallet,109.32,4.76,5.47,6.5
954-82-5589,J,London,Member,Male,Food and beverages,19.65,3,2.95,61.9,6/03/2019,12:24,Credit card,58.95,4.76,2.95,9.8
462-37-8320,G,Naypyitaw,Normal,Female,Home and lifestyle,27.81,1,1.39,29.2,15/05/2019,9:10,Credit card,27.81,4.76,1.39,7.7
765-39-1271,D,Paris,Member,Female,Sports and travel,10.06,9,4.53,95.07,10/01/2019,19:23,Ewallet,90.54,4.76,4.53,6.7
273-12-6878,G,Rome,Normal,Female,Fashion accessories,20.84,4,4.17,87.53,15/03/2019,18:41,Credit card,83.36,4.76,4.17,6.1
289-97-6260,E,Paris,Member,Male,Health and beauty,20.77,2,2.08,43.62,9/08/2019,10:42,Credit card,41.54,4.76,2.08,6.9
931-17-2976,D,London,Normal,Female,Food and beverages,61.42,7,21.5,451.44,16/05/2019,9:42,Credit card,429.94,4.76,21.5,8.2
771-54-1463,I,Naypyitaw,Member,Female,Food and beverages,23.64,5,5.91,124.11,26/07/2019,20:16,Cash,118.2,4.76,5.91,5.4
685-48-9000,A,Berlin,Normal,Male,Fashion accessories,35.95,7,12.58,264.23,18/08/2019,14:19,Credit card,251.65,4.76,12.58,7.3
305-98-3294,B,Yangon,Member,Male,Health and beauty,78.89,6,23.67,497.01,25/06/2019,20:48,Ewallet,473.34,4.76,23.67,7.7
796-53-8128,H,Dubai,Normal,Female,Home and lifestyle,31.94,9,14.37,301.83,22/02/2019,14:46,Credit card,287.46,4.76,14.37,6.4
762-71-9004,F,Chicago,Normal,Male,Sports and travel,33.2,4,6.64,139.44,13/01/2019,17:50,Credit card,132.8,4.76,6.64,6.9
963-97-5971,D,Los Angeles,Member,Female,Health and beauty,32.48,4,6.5,136.42,8/01/2019,19:32,Ewallet,129.92,4.76,6.5,6.2
252-90-8941,D,Bangkok,Normal,Male,Fashion accessories,28.2,5,7.05,148.05,19/05/2019,14:46,Cash,141.0,4.76,7.05,8.1
175-79-3318,B,Dubai,Normal,Female,Fashion accessories,78.22,1,3.91,82.13,5/02/2019,19:14,Cash,78.22,4.76,3.91,8.0
555-92-2825,F,Tokyo,Member,Male,Home and lifestyle,15.28,3,2.29,48.13,8/07/2019,9:25,Ewallet,45.84,4.76,2.29,9.5
929-24-2549,I,Naypyitaw,Member,Female,Food and beverages,68.45,8,27.38,574.98,9/06/2019,10:20,Credit card,547.6,4.76,27.38,8.9
637-71-7213,B,London,Normal,Female,Health and beauty,10.37,5,2.59,54.44,15/02/2019,19:14,Ewallet,51.85,4.76,2.59,8.3
824-28-9114,H,Paris,Member,Female,Fashion accessories,51.78,8,20.71,434.95,27/09/2019,19:30,Ewallet,414.24,4.76,20.71,9.3
610-47-9574,I,New York,Member,Female,Electronic accessories,86.82,10,43.41,911.61,8/05/2019,16:29,Ewallet,868.2,4.76,43.41,8.1
169-53-1601,C,Madrid,Normal,Male,Home and lifestyle,35.41,10,17.7,371.8,24/06/2019,16:54,Credit card,354.1,4.76,17.7,8.5
432-23-1135,B,Naypyitaw,Normal,Female,Electronic accessories,40.49,10,20.25,425.15,23/02/2019,10:31,Credit card,404.9,4.76,20.25,9.7
945-79-5459,B,Kuala Lumpur,Normal,Female,Food and beverages,21.1,5,5.28,110.78,26/06/2019,10:20,Ewallet,105.5,4.76,5.28,7.3
257-80-1387,F,Singapore,Normal,Female,Food and beverages,65.89,8,26.36,553.48,22/04/2019,12:11,Cash,527.12,4.76,26.36,9.0
473-50-1385,H,Seoul,Normal,Female,Food and beverages,11.5,1,0.58,12.08,1/05/2019,12:25,Ewallet,11.5,4.76,0.58,6.7
828-55-2502,B,Dubai,Member,Female,Sports and travel,89.56,2,8.96,188.08,21/02/2019,12:24,Cash,179.12,4.76,8.96,6.1
672-58-9737,J,New York,Normal,Female,Sports and travel,99.86,1,4.99,104.85,28/01/2019,13:37,Cash,99.86,4.76,4.99,8.6
906-11-7469,I,Bangkok,Normal,Female,Fashion accessories,27.0,10,13.5,283.5,23/01/2019,17:16,Ewallet,270.0,4.76,13.5,5.1
708-17-6737,A,Toronto,Member,Female,Home and lifestyle,85.3,8,34.12,716.52,4/07/2019,13:52,Credit card,682.4,4.76,34.12,9.9
361-55-5579,F,Tokyo,Member,Male,Home and lifestyle,12.57,5,3.14,65.99,11/01/2019,20:38,Ewallet,62.85,4.76,3.14,7.2
872-82-7351,F,Berlin,Normal,Male,Home and lifestyle,13.1,1,0.66,13.76,24/06/2019,17:42,Cash,13.1,4.76,0.66,6.3
242-73-8494,F,Singapore,Normal,Male,Health and beauty,48.32,1,2.42,50.74,15/07/2019,19:34,Cash,48.32,4.76,2.42,8.8
530-74-4792,A,Bangkok,Normal,Female,Sports and travel,48.61,10,24.31,510.41,15/09/2019,19:14,Cash,486.1,4.76,24.31,7.6
389-85-3293,G,Rome,Normal,Male,Home and lifestyle,59.21,7,20.72,435.19,13/06/2019,13:34,Credit card,414.47,4.76,20.72,9.5
416-26-2553,I,Tokyo,Normal,Female,Fashion accessories,70.0,5,17.5,367.5,15/02/2019,20:28,Credit card,350.0,4.76,17.5,7.3
718-41-2356,I,Seoul,Normal,Female,Home and lifestyle,37.45,5,9.36,196.61,12/04/2019,9:13,Ewallet,187.25,4.76,9.36,8.7
778-50-4721,H,Bangkok,Normal,Male,Fashion accessories,25.58,3,3.84,80.58,17/02/2019,12:38,Ewallet,76.74,4.76,3.84,6.7
811-63-9889,B,Paris,Member,Male,Fashion accessories,48.75,1,2.44,51.19,17/01/2019,10:13,Ewallet,48.75,4.76,2.44,9.5
465-86-8240,G,Los Angeles,Normal,Female,Fashion accessories,81.25,7,28.44,597.19,15/01/2019,9:50,Cash,568.75,4.76,28.44,8.9
311-54-2385,F,London,Member,Female,Electronic accessories,13.51,3,2.03,42.56,13/02/2019,19:38,Cash,40.53,4.76,2.03,8.5
925-65-7710,J,Naypyitaw,Member,Male,Fashion accessories,29.96,3,4.49,94.37,4/07/2019,16:43,Ewallet,89.88,4.76,4.49,9.0
982-35-1445,D,Mexico City,Member,Female,Food and beverages,40.9,3,6.13,128.83,3/01/2019,15:51,Ewallet,122.7,4.76,6.13,10.0
554-81-3803,D,New York,Normal,Male,Sports and travel,96.36,4,19.27,404.71,7/04/2019,16:26,Cash,385.44,4.76,19.27,7.9
506-92-3795,D,Mexico City,Member,Male,Home and lifestyle,70.84,2,7.08,148.76,8/07/2019,11:12,Ewallet,141.68,4.76,7.08,9.1
182-65-8769,H,Yangon,Member,Female,Health and beauty,10.97,5,2.74,57.59,22/09/2019,14:42,Ewallet,54.85,4.76,2.74,7.9
196-59-5388,D,Berlin,Normal,Male,Electronic accessories,45.05,7,15.77,331.12,21/06/2019,11:55,Credit card,315.35,4.76,15.77,7.4
858-85-3331,G,Toronto,Member,Female,Health and beauty,47.72,8,19.09,400.85,23/06/2019,10:41,Cash,381.76,4.76,19.09,6.0
266-24-2737,G,Chicago,Member,Male,Electronic accessories,89.01,5,22.25,467.3,28/06/2019,12:34,Ewallet,445.05,4.76,22.25,9.4
838-50-8537,A,Kuala Lumpur,Member,Female,Home and lifestyle,85.22,8,34.09,715.85,10/08/2019,17:51,Ewallet,681.76,4.76,34.09,9.6
762-14-8257,A,Mexico City,Normal,Female,Fashion accessories,50.25,9,22.61,474.86,24/03/2019,19:27,Cash,452.25,4.76,22.61,7.8
649-30-4948,B,Bangkok,Normal,Male,Fashion accessories,79.85,4,15.97,335.37,1/08/2019,19:36,Cash,319.4,4.76,15.97,8.0
454-34-8717,F,Madrid,Member,Male,Fashion accessories,81.08,3,12.16,255.4,12/08/2019,14:49,Ewallet,243.24,4.76,12.16,9.9
972-14-8862,J,Sydney,Normal,Male,Fashion accessories,81.04,3,12.16,255.28,13/02/2019,19:33,Cash,243.12,4.76,12.16,8.5
594-27-7933,B,Rome,Normal,Female,Home and lifestyle,79.53,1,3.98,83.51,26/08/2019,16:28,Ewallet,79.53,4.76,3.98,7.9
359-12-4010,H,London,Member,Female,Electronic accessories,42.49,3,6.37,133.84,28/07/2019,18:32,Credit card,127.47,4.76,6.37,6.5
839-95-2263,F,Mexico City,Member,Male,Sports and travel,22.76,2,2.28,47.8,27/06/2019,18:54,Ewallet,45.52,4.76,2.28,6.9
876-25-8755,D,Mexico City,Member,Male,Home and lifestyle,11.23,6,3.37,70.75,27/08/2019,13:10,Cash,67.38,4.76,3.37,8.8
843-96-5546,H,Berlin,Normal,Female,Health and beauty,15.87,2,1.59,33.33,10/06/2019,10:58,Ewallet,31.74,4.76,1.59,6.6
402-44-3255,G,Singapore,Member,Female,Food and beverages,44.71,5,11.18,234.73,19/07/2019,9:43,Cash,223.55,4.76,11.18,7.6
586-14-2517,F,Bangkok,Member,Female,Health and beauty,59.74,8,23.9,501.82,23/09/2019,12:56,Cash,477.92,4.76,23.9,8.0
429-97-4401,C,Kuala Lumpur,Member,Male,Sports and travel,87.33,2,8.73,183.39,19/01/2019,15:11,Credit card,174.66,4.76,8.73,9.0
447-18-8191,B,Sydney,Normal,Male,Electronic accessories,86.85,3,13.03,273.58,2/09/2019,11:45,Credit card,260.55,4.76,13.03,6.8
426-55-1607,A,Paris,Member,Male,Sports and travel,25.43,6,7.63,160.21,10/06/2019,16:16,Credit card,152.58,4.76,7.63,7.4
935-32-9621,D,Berlin,Normal,Male,Food and beverages,90.73,6,27.22,571.6,1/02/2019,19:10,Cash,544.38,4.76,27.22,9.4
136-27-2696,B,Kuala Lumpur,Normal,Female,Fashion accessories,25.87,6,7.76,162.98,8/09/2019,20:10,Cash,155.22,4.76,7.76,6.7
579-24-7464,F,Rome,Normal,Female,Sports and travel,77.22,4,15.44,324.32,13/01/2019,13:50,Cash,308.88,4.76,15.44,5.6
408-17-2724,J,Seoul,Member,Male,Electronic accessories,76.88,2,7.69,161.45,20/09/2019,11:44,Ewallet,153.76,4.76,7.69,10.0
137-21-4827,A,Bangkok,Member,Male,Sports and travel,73.43,5,18.36,385.51,2/03/2019,17:47,Credit card,367.15,4.76,18.36,9.9
572-10-5468,H,Sydney,Member,Male,Electronic accessories,80.0,7,28.0,588.0,8/01/2019,14:34,Cash,560.0,4.76,28.0,9.9
913-21-4385,D,Toronto,Normal,Male,Fashion accessories,28.27,8,11.31,237.47,15/04/2019,11:59,Cash,226.16,4.76,11.31,8.1
189-88-8399,D,Bangkok,Member,Female,Health and beauty,11.03,5,2.76,57.91,12/01/2019,9:40,Ewallet,55.15,4.76,2.76,7.1
773-27-6164,G,Los Angeles,Member,Female,Health and beauty,81.01,2,8.1,170.12,28/09/2019,9:31,Ewallet,162.02,4.76,8.1,8.9
675-17-3221,F,New York,Normal,Female,Fashion accessories,24.27,9,10.92,229.35,16/07/2019,9:59,Cash,218.43,4.76,10.92,6.4
308-35-3208,D,Tokyo,Normal,Male,Home and lifestyle,90.1,8,36.04,756.84,18/09/2019,20:18,Credit card,720.8,4.76,36.04,9.7
871-55-9688,C,London,Member,Female,Health and beauty,76.04,8,30.42,638.74,25/09/2019,20:40,Ewallet,608.32,4.76,30.42,9.6
663-66-5044,H,Bangkok,Normal,Female,Sports and travel,66.03,7,23.11,485.32,13/03/2019,16:27,Credit card,462.21,4.76,23.11,6.6
245-98-4480,I,Bangkok,Normal,Female,Health and beauty,34.52,6,10.36,217.48,10/04/2019,13:46,Credit card,207.12,4.76,10.36,9.2
871-16-7269,J,Singapore,Normal,Female,Fashion accessories,16.29,6,4.89,102.63,26/07/2019,19:47,Cash,97.74,4.76,4.89,6.1
233-68-9423,H,Bangkok,Normal,Male,Sports and travel,35.31,9,15.89,333.68,26/02/2019,13:53,Credit card,317.79,4.76,15.89,7.1
305-21-3404,A,New York,Normal,Male,Food and beverages,55.86,4,11.17,234.61,17/08/2019,20:42,Cash,223.44,4.76,11.17,5.4
449-49-6759,I,Dubai,Normal,Male,Fashion accessories,11.37,6,3.41,71.63,9/05/2019,19:23,Ewallet,68.22,4.76,3.41,8.6
197-29-5353,C,Dubai,Member,Female,Electronic accessories,13.78,7,4.82,101.28,3/02/2019,15:54,Ewallet,96.46,4.76,4.82,9.3
811-82-5592,C,London,Member,Female,Health and beauty,60.74,9,27.33,573.99,20/07/2019,10:47,Credit card,546.66,4.76,27.33,5.2
838-53-2018,C,Mexico City,Member,Female,Health and beauty,17.69,10,8.85,185.75,20/07/2019,16:21,Credit card,176.9,4.76,8.85,6.1
274-58-5015,I,Madrid,Normal,Male,Fashion accessories,46.91,3,7.04,147.77,21/07/2019,15:44,Ewallet,140.73,4.76,7.04,6.7
429-74-8144,H,Rome,Member,Male,Electronic accessories,50.04,10,25.02,525.42,19/09/2019,18:56,Cash,500.4,4.76,25.02,9.5
242-23-2838,G,New York,Member,Female,Home and lifestyle,73.25,5,18.31,384.56,24/09/2019,16:17,Ewallet,366.25,4.76,18.31,9.0
304-50-1849,E,Rome,Member,Male,Health and beauty,74.15,7,25.95,545.0,24/05/2019,19:36,Ewallet,519.05,4.76,25.95,7.0
315-71-5994,H,Yangon,Normal,Male,Fashion accessories,73.64,1,3.68,77.32,22/01/2019,10:54,Credit card,73.64,4.76,3.68,9.2
909-13-4937,F,Los Angeles,Member,Female,Food and beverages,52.12,3,7.82,164.18,10/09/2019,15:47,Credit card,156.36,4.76,7.82,7.8
272-40-9858,A,Bangkok,Member,Female,Electronic accessories,63.59,10,31.8,667.7,22/06/2019,14:16,Cash,635.9,4.76,31.8,8.1
584-32-4772,D,Bangkok,Member,Male,Fashion accessories,47.66,10,23.83,500.43,24/09/2019,18:25,Cash,476.6,4.76,23.83,7.9
709-98-8742,E,Paris,Member,Male,Food and beverages,43.89,7,15.36,322.59,4/03/2019,15:24,Ewallet,307.23,4.76,15.36,5.5
363-45-3839,H,Los Angeles,Normal,Male,Electronic accessories,42.57,6,12.77,268.19,15/03/2019,20:32,Credit card,255.42,4.76,12.77,9.5
672-49-8506,E,Mexico City,Normal,Female,Health and beauty,73.64,2,7.36,154.64,16/03/2019,9:58,Cash,147.28,4.76,7.36,5.6
633-45-4228,C,Tokyo,Normal,Male,Fashion accessories,36.51,4,7.3,153.34,14/05/2019,9:49,Cash,146.04,4.76,7.3,9.9
684-80-8576,G,Berlin,Member,Female,Health and beauty,93.74,8,37.5,787.42,19/03/2019,16:46,Ewallet,749.92,4.76,37.5,9.2
358-56-8132,E,Sydney,Normal,Female,Home and lifestyle,33.05,5,8.26,173.51,18/06/2019,13:22,Ewallet,165.25,4.76,8.26,8.6
718-40-9606,A,Naypyitaw,Normal,Male,Fashion accessories,45.63,5,11.41,239.56,7/05/2019,9:57,Credit card,228.15,4.76,11.41,7.6
453-56-4899,E,Berlin,Normal,Male,Fashion accessories,61.5,6,18.45,387.45,16/01/2019,9:30,Cash,369.0,4.76,18.45,7.9
354-85-9223,C,Berlin,Member,Female,Health and beauty,73.57,8,29.43,617.99,16/01/2019,13:38,Credit card,588.56,4.76,29.43,6.0
896-36-8788,G,Chicago,Member,Male,Fashion accessories,90.18,7,31.56,662.82,16/01/2019,13:18,Cash,631.26,4.76,31.56,7.5
427-59-7152,A,Sydney,Member,Female,Food and beverages,60.6,8,24.24,509.04,23/09/2019,18:31,Cash,484.8,4.76,24.24,8.6
267-49-5657,G,Mexico City,Member,Male,Home and lifestyle,21.66,3,3.25,68.23,6/09/2019,16:57,Cash,64.98,4.76,3.25,7.1
184-41-4239,F,Los Angeles,Normal,Female,Home and lifestyle,73.82,1,3.69,77.51,26/09/2019,14:55,Cash,73.82,4.76,3.69,7.0
657-48-9760,I,Paris,Normal,Male,Home and lifestyle,54.45,6,16.34,343.04,6/01/2019,18:48,Credit card,326.7,4.76,16.34,5.2
685-54-8990,C,Naypyitaw,Member,Female,Health and beauty,45.06,10,22.53,473.13,27/04/2019,20:37,Cash,450.6,4.76,22.53,9.0
714-27-9177,D,Naypyitaw,Normal,Female,Food and beverages,75.44,4,15.09,316.85,12/06/2019,9:41,Ewallet,301.76,4.76,15.09,7.2
722-30-1640,A,Los Angeles,Normal,Male,Food and beverages,32.19,5,8.05,169.0,8/08/2019,17:34,Cash,160.95,4.76,8.05,9.1
429-49-7737,H,Yangon,Normal,Male,Health and beauty,73.84,10,36.92,775.32,9/05/2019,15:37,Credit card,738.4,4.76,36.92,7.3
262-65-9605,B,Madrid,Normal,Female,Food and beverages,87.15,8,34.86,732.06,15/08/2019,10:10,Cash,697.2,4.76,34.86,9.8
141-68-2104,I,Mexico City,Member,Female,Food and beverages,86.79,6,26.04,546.78,16/05/2019,15:41,Cash,520.74,4.76,26.04,9.0
292-44-9237,C,Naypyitaw,Member,Female,Health and beauty,31.84,4,6.37,133.73,27/07/2019,12:49,Ewallet,127.36,4.76,6.37,5.2
118-26-5024,E,Dubai,Normal,Female,Electronic accessories,87.22,10,43.61,915.81,18/06/2019,9:35,Ewallet,872.2,4.76,43.61,8.1
183-52-2743,I,Chicago,Member,Male,Fashion accessories,29.3,10,14.65,307.65,21/03/2019,16:52,Ewallet,293.0,4.76,14.65,6.4
